TEACHID,PERIOD,MONTH,DAY,YEAR,time,timepoint,STUDID,ENJOY,FEELGD,CONCEN,SUCCEED,LEARN,CONTROL,WRKHARD,GOODGR,OWNEXP,TCHEXP,PAREXP,CHALL,SKILL,IMPTYOU,IMPTGOAL,SOMELSE,INTEREST,HAPPY,FRUSTR,STRESS,ANGRY,EXCITED,PROUD,BORED,COMPET,COOPER,USEFUL,USE,group,brain,class_type,grade,ESF_counts,Uti7T,Uti7S,Uti79TS,Uti7T9B,Use_r,Uful_r,Ugroup,seven,t_days,timepoint_mean,t_week,form_set,beh_enga,cog_enga,aff_enga,Date,beep_ID
10,4,2,2,12,3,10,1171508,3,3,3,3,3,3,3,3,3,3,3,1,3,2,1,0,3,3,0,0,0,3,3,0,2,3,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,135,10,19,1,3,1.5,3,2012-02-02,432012-02-0210
10,4,2,2,12,3,10,1171696,2,1,1,1,1,3,2,2,2,2,2,2,1,3,1,0,1,3,1,0,0,1,1,0,1,1,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,135,10,19,1,1.5,2,1.5,2012-02-02,432012-02-0210
10,4,2,2,12,3,10,3000762,0,3,1,2,1,1,0,0,1,2,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,135,10,19,1,0.5,0.5,0.5,2012-02-02,432012-02-0210
10,4,2,2,12,3,10,3003285,3,2,3,2,2,1,3,3,3,3,3,2,2,3,3,3,3,3,2,2,1,1,1,3,3,3,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,135,10,19,1,3,3,3,2012-02-02,432012-02-0210
10,4,4,24,12,3,11,1160043,2,2,3,3,2,2,2,3,2,3,3,0,3,2,1,1,1,2,0,0,0,1,1,2,0,2,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,217,11,31,1,2.5,1.5,1.5,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170131,3,2,3,3,2,2,3,3,3,3,3,0,2,2,0,0,3,2,0,2,0,0,2,0,0,0,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,3,1,3,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170180,1,1,2,3,1,1,1,1,1,2,3,1,1,3,3,1,2,1,1,0,0,0,0,1,0,3,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,1.5,3,1.5,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170252,3,2,3,2,1,2,1,2,2,2,3,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,2,2,2,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170252,2,2,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,2,1,1.5,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170744,2,3,2,3,1,3,2,3,2,3,3,0,3,3,2,1,0,1,0,0,0,0,1,1,0,3,1,2,4,0,NaN,7,1,0,0,0,0,0,1,0,1,217,11,31,1,2,2.5,1,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170794,3,3,3,3,3,3,3,3,3,3,3,0,3,2,3,2,3,3,0,1,0,2,2,1,1,3,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,3,2.5,3,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170836,3,3,2,3,1,2,3,3,3,3,3,1,2,3,3,1,3,2,0,0,0,1,2,0,0,3,1,3,4,0,NaN,7,1,0,0,0,0,0,1,0,1,217,11,31,1,2.5,3,3,2012-04-24,432012-04-2410
